,returns,returns,returns,returns,returns,returns,returns,returns,returns,returns,returns,returns,cumulative,cumulative,cumulative,cumulative,cumulative,cumulative,cumulative,cumulative,cumulative,cumulative,cumulative,cumulative,rolling_vol_12m,rolling_vol_12m,rolling_vol_12m,rolling_vol_12m,rolling_vol_12m,rolling_vol_12m,rolling_vol_12m,rolling_vol_12m,rolling_vol_12m,rolling_vol_12m,rolling_vol_12m,rolling_vol_12m,rolling_sharpe_12m,rolling_sharpe_12m,rolling_sharpe_12m,rolling_sharpe_12m,rolling_sharpe_12m,rolling_sharpe_12m,rolling_sharpe_12m,rolling_sharpe_12m,rolling_sharpe_12m,rolling_sharpe_12m,rolling_sharpe_12m,rolling_sharpe_12m
,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-01,-0.047599999999999996,-0.067,-0.0414,0.050300000000000004,-0.0269,0.021099999999999997,-0.0212,-0.042699999999999995,-0.0409,-0.011899999999999999,-0.0751,-0.0737,0.9524,0.933,0.9586,1.0503,0.9731,1.0211,0.9788,0.9573,0.9591,0.9881,0.9249,0.9263,,,,,,,,,,,,,,,,,,,,,,,,
1973-02,-0.0437,-0.058600000000000006,-0.0279,-0.0738,-0.0101,-0.0298,-0.0464,-0.019799999999999998,-0.0645,-0.0070999999999999995,-0.061200000000000004,-0.0599,0.9107801200000001,0.8783262000000001,0.93185506,0.9727878600000001,0.96327169,0.9906712199999999,0.93338368,0.93834546,0.89723805,0.98108449,0.86829612,0.87081463,,,,,,,,,,,,,,,,,,,,,,,,
1973-03,-0.01,-0.0282,-0.0029,0.0305,-0.0007000000000000001,-0.0115,0.0053,-0.0215,-0.0564,0.0078000000000000005,-0.0038,-0.001,0.9016723188000001,0.85355740116,0.929152680326,1.00245788973,0.962597399817,0.9792785009699999,0.9383306135040002,0.91817103261,0.84663382398,0.988736949022,0.864996594744,0.86994381537,,,,,,,,,,,,,,,,,,,,,,,,
1973-04,-0.0625,-0.0519,-0.049699999999999994,-0.0098,-0.0333,-0.0649,0.0088,-0.006,-0.0852,-0.054900000000000004,-0.0801,-0.0742,0.8453177988750001,0.809257772039796,0.8829737921137978,0.992633802410646,0.9305429064030939,0.915723326257047,0.9465879229028353,0.91266200641434,0.7745006221769041,0.9344552905206923,0.7957103675050056,0.8053939842695459,,,,,,,,,,,,,,,,,,,,,,,,
1973-05,-0.0213,-0.042300000000000004,-0.0084,-0.0356,-0.0182,-0.0268,-0.0084,0.0034999999999999996,-0.0223,0.0106,-0.0325,-0.0722,0.8273125297589626,0.7750261682825126,0.8755568122600419,0.9572960390448271,0.9136070255065576,0.8911819411133581,0.9386365843504515,0.9158563234367902,0.7572292583023591,0.9443605166002116,0.7698497805610929,0.7472445386052846,,,,,,,,,,,,,,,,,,,,,,,,
1973-06,-0.0344,-0.0254,-0.0018,0.0159,-0.0070999999999999995,-0.001,-0.0032,-0.025,-0.0576,0.0001,0.0254,-0.0392,0.7988529787352543,0.7553405036081368,0.8739808099979738,0.9725170460656398,0.9071204156254611,0.8902907591722448,0.93563294728053,0.8929599153508705,0.7136128530241432,0.9444549526518716,0.7894039649873447,0.7179525526919575,,,,,,,,,,,,,,,,,,,,,,,,
1973-07,0.07429999999999999,0.0726,0.0673,0.003,0.065,0.048499999999999995,-0.0032,-0.024,0.1114,0.0687,0.0897,0.1016,0.8582077550552837,0.8101782241700874,0.9327997185108373,0.9754345972038366,0.966083242641116,0.9334698609920986,0.9326389218492324,0.8715288773824496,0.7931093248510328,1.0093390078990552,0.8602135006467095,0.7908965320454603,,,,,,,,,,,,,,,,,,,,,,,,
1973-08,-0.0331,-0.0394,-0.0040999999999999995,-0.0382,-0.0403,-0.037599999999999995,-0.038900000000000004,-0.021,-0.0415,-0.069,-0.0232,-0.023,0.8298010783629538,0.778257202137786,0.9289752396649429,0.93817299559065,0.9271500879626791,0.8983713942187957,0.8963592677892972,0.8532267709574181,0.7601952878697149,0.9396946163540204,0.8402565474317059,0.7727059118084146,,,,,,,,,,,,,,,,,,,,,,,,
1973-09,0.059000000000000004,0.0782,0.0443,0.09210000000000002,0.0516,-0.0316,0.0764,0.0791,0.0717,0.0078000000000000005,0.0738,0.071,0.8787593419863681,0.8391169153449609,0.9701288427820999,1.024578728484549,0.9749910325015534,0.8699828581614818,0.9648411158483995,0.9207170085401498,0.8147012900099735,0.9470242343615818,0.9022674806321658,0.827568031546812,,,,,,,,,,,,,,,,,,,,,,,,
1973-10,-0.0225,-0.0435,0.0033,0.051699999999999996,0.0045000000000000005,0.0418,-0.0556,-0.0341,-0.0365,0.0183,-0.0178,-0.002,0.8589872567916749,0.8026153295274552,0.9733302679632809,1.0775494487472002,0.9793784921478104,0.9063481416326318,0.9111959498072285,0.8893205585489307,0.7849646929246095,0.9643547778503987,0.8862071194769132,0.8259128954837184,,,,,,,,,,,,,,,,,,,,,,,,
1973-11,-0.1432,-0.1631,-0.1396,-0.0622,-0.1501,-0.1144,-0.0433,-0.1164,-0.18899999999999997,-0.0776,-0.12380000000000001,-0.1464,0.735980281619107,0.6717087692815272,0.837453362555607,1.0105258730351243,0.832373780476424,0.8026619142298587,0.8717411651805755,0.7858036455338351,0.6366063659618583,0.8895208470892078,0.7764946780856713,0.7049992475849021,,,,,,,,,,,,,,,,,,,,,,,,
1973-12,-0.015700000000000002,-0.037599999999999995,0.017,0.0863,0.0024,-0.0444,0.0417,0.034300000000000004,-0.0021,-0.044800000000000006,0.0209,0.0281,0.724425391197687,0.6464525195565418,0.8516900697190523,1.0977342558780556,0.8343714775495673,0.767023725238053,0.9080927717686056,0.8127567105756456,0.6352694925933384,0.8496703131396113,0.7927234168576618,0.7248097264420378,0.19156709482106213,0.2164398803783208,0.17974439174460038,0.19102895544440854,0.1843853671969759,0.15748217792384114,0.13297551380884853,0.1597366696671858,0.2605134842086786,0.14532393909032082,0.21917173631652417,0.23895921865836892,-1.5696850248779735,-1.8767336190077015,-0.8005813066171663,0.5768758968693067,-0.8851027740485289,-1.591291175317571,-0.6617759727290804,-1.2119947185788276,-1.5849467495097318,-1.0459391683948915,-0.9476586876149172,-1.217362534215049
1974-01,0.0236,0.061,0.0042,-0.0746,0.005699999999999999,0.0111,0.0209,0.0455,0.0669,-0.0256,0.0034000000000000002,0.021,0.7415218304299525,0.6858861232494908,0.8552671680118723,1.0158432803895527,0.8391273949715998,0.7755376885881954,0.9270719106985694,0.8497371409068375,0.6777690216478327,0.8279187531232373,0.7954186764749779,0.7400307306973205,0.19561606877666354,0.232319458739665,0.17737402443834482,0.2022063460023853,0.18470173499209722,0.15486973998698506,0.13483760940142372,0.16787689212363596,0.2792154642109664,0.145889756011486,0.21047651564097036,0.23632733077815457,-1.1732165022804035,-1.197489015811406,-0.5541961418041178,-0.07269801512474083,-0.7070859405061243,-1.6827044458258942,-0.34040947628603796,-0.6278410248527609,-1.092704520726245,-1.135789136469283,-0.6138452055163657,-0.8302044429392598
1974-02,0.0015,-0.010700000000000001,0.0023,-0.0155,-0.0040999999999999995,-0.0066,0.0471,0.0029,0.008100000000000001,-0.012199999999999999,0.005600000000000001,0.014499999999999999,0.7426341131755975,0.6785471417307213,0.8572342824982996,1.0000977095435146,0.8356869726522163,0.7704191398435133,0.970736997692472,0.8522013786154672,0.6832589507231801,0.8178181443351338,0.7998730210632378,0.7507611762924317,0.19464106592765704,0.22927140526617634,0.1762809818030707,0.1872291546838696,0.184826906738563,0.15528590640258608,0.13504862423990444,0.16778651749930762,0.277565407525047,0.1457229750401269,0.203499814607912,0.2330592511475452,-0.9468710989719892,-1.0044863629314325,-0.38631507099317575,0.2328697155825823,-0.674144269352764,-1.5287929568091594,0.35246564167467515,-0.4928882322165204,-0.8376404036551983,-1.1720869681185675,-0.3066341859830565,-0.5226138820934032
1974-03,-0.019,-0.001,-0.0177,-0.032400000000000005,0.0177,-0.027000000000000003,-0.0458,-0.0366,-0.031200000000000002,0.0121,-0.0414,-0.031200000000000002,0.7285240650252611,0.6778685945889905,0.8420612356980797,0.9676945437543047,0.8504786320681605,0.7496178230677384,0.9262772431981569,0.8210108081581411,0.6619412714606169,0.8277137438815889,0.7667582779912198,0.7273374275921078,0.1945788435663969,0.22971855309566014,0.1766477208251702,0.18794702106517341,0.18678406589623023,0.15515745375116674,0.14387733095813376,0.16988703198409125,0.2750307139872993,0.1464936455339213,0.20666660019549274,0.2337215281639086,-0.9934276330203363,-0.8841253667283216,-0.4692956105674686,-0.10268851238300512,-0.5685709832390119,-1.6299571427975839,-0.02432627834205825,-0.5756766650038262,-0.7537339993582424,-1.1365680701928205,-0.4838711233716852,-0.6503465949161629
1974-04,-0.036699999999999997,-0.0407,-0.028999999999999998,-0.06309999999999999,0.0013,-0.0363,-0.053200000000000004,-0.1223,-0.0196,-0.0148,-0.0675,-0.0592,0.7017872318388341,0.6502793427892186,0.8176414598628353,0.9066330180434082,0.8515842542898492,0.7224066960903794,0.8769992938600149,0.7206011863204005,0.6489672225399888,0.8154635804721414,0.7150020942268124,0.684279051878655,0.18951289473998137,0.22812582453151117,0.17233769175662064,0.1977816702601864,0.1850397107257103,0.14885266357894122,0.1526919507314705,0.20455253826117853,0.2649968558990155,0.13956748774827052,0.20222985122694603,0.229862860300342,-0.8838448709773343,-0.8412024390228239,-0.36091930538236694,-0.36707142731929093,-0.386943968509196,-1.506859162658159,-0.4289682572409507,-1.0466748631915337,-0.5347233253740895,-0.9056550493190799,-0.43218149778450915,-0.5960075491142585
1974-05,-0.0291,0.0044,-0.0425,-0.0754,0.0126,-0.0391,-0.0155,-0.0493,0.011899999999999999,-0.0012,-0.1012,-0.0688,0.681365223392324,0.6531405718974912,0.7828916978186649,0.8382728884829352,0.8623142158939012,0.6941605942732456,0.8634058048051847,0.6850755478348047,0.6566899324882147,0.8144850241755749,0.642643882291059,0.6372006531094035,0.19000241864489273,0.2270279758491931,0.17635875368123918,0.20800875855685416,0.1853813759401266,0.15008665375829935,0.15300591788911597,0.20535583972483207,0.26572561891066226,0.1381095085924078,0.22225290058440592,0.22890520467493247,-0.9226198342644734,-0.6395687555988754,-0.5460460452904883,-0.5403618615861223,-0.22008683338922536,-1.5764226470197835,-0.47449145106017093,-1.2996952039817053,-0.40455263756913784,-1.0006552148980508,-0.7023530383159937,-0.5836477164847559
1974-06,-0.005699999999999999,-0.0264,-0.0102,-0.0031,0.0092,-0.0291,0.0027,-0.0622,-0.0273,-0.016200000000000003,-0.0684,-0.0434,0.6774814416189877,0.6358976607993975,0.7749062025009145,0.8356742425286382,0.8702475066801252,0.6739605209798941,0.8657370004781586,0.6424638487594798,0.6387622973312864,0.8012903667839306,0.5986870407423505,0.6095461447644555,0.18890550788447355,0.2270940774216712,0.17623530499667972,0.20635218790830753,0.18574272284778504,0.1488895960709875,0.15323938195456863,0.20923369057761054,0.26136667381634204,0.13757469045774903,0.22435318544246657,0.22950473950344782,-0.7760493679710717,-0.6437860540437341,-0.5940920861570419,-0.636775414556726,-0.13190287955495078,-1.7778273766945842,-0.4352666993904658,-1.4533988248283605,-0.29537048037825636,-1.1230263319941756,-1.1138687400722673,-0.600423330246432
1974-07,-0.1016,-0.1191,-0.0736,-0.0052,-0.0676,-0.08220000000000001,-0.07629999999999999,0.0074,-0.1283,-0.1414,-0.0722,-0.0604,0.6086493271504986,0.5601622493981893,0.7178731059968472,0.8313287364674893,0.8114187752285488,0.6185609661553468,0.7996812673416751,0.6472180812403,0.5568090945836824,0.6879879089206828,0.5554618364007528,0.5727295576206823,0.18281842706009496,0.22991214725313114,0.1659524795070729,0.205909900861341,0.1807964475716972,0.13831099344987335,0.16867064194620665,0.2117937998062352,0.2532665340559768,0.16023365893140387,0.19366081877156444,0.19734894798991776,-1.7640453710609254,-1.469691810707049,-1.4799417322929032,-0.6779664281126827,-0.8689330023351257,-2.8587749255325883,-0.8288342202704473,-1.2875731029401538,-1.2512509841902717,-2.275427038435698,-2.1263981150763644,-1.5191365500226346
1974-08,-0.102,-0.06709999999999999,-0.0955,-0.08650000000000001,-0.1164,-0.047400000000000005,-0.0003,-0.08689999999999999,-0.1308,-0.0806,-0.11789999999999999,-0.0956,0.5465670957811477,0.5225753624635708,0.6493162243741483,0.7594188007630515,0.7169696297919457,0.5892411763595834,0.7994413629614726,0.590974829980518,0.48397846501213676,0.6325360834616758,0.489972885889104,0.5179766119121451,0.1977512946745344,0.2330371020011425,0.1806387957927492,0.2180170197693082,0.20735510165370463,0.1390158133581801,0.16626725474368062,0.22124963276805681,0.2739686710689248,0.16366654570136863,0.21018015432653783,0.20953092199655704,-1.979253792720695,-1.5688488951351942,-1.8656014535584449,-0.8618593181340791,-1.124640764274312,-2.9147763136556644,-0.6086586330905084,-1.5303980203888763,-1.4826512769330789,-2.298576036952762,-2.4098374160154856,-1.7773033042164497
1974-09,-0.1206,-0.1298,-0.13419999999999999,-0.0797,-0.1161,-0.16899999999999998,-0.0381,-0.0132,-0.12269999999999999,-0.15560000000000002,-0.0711,-0.11960000000000001,0.48065110402994127,0.4547450804157993,0.5621779870631376,0.6988931223422362,0.6337294557731008,0.4896594175548138,0.7689826470326405,0.5831739622247751,0.4245943073551476,0.5341134688750391,0.4551358137023887,0.45602660912745246,0.18831178208685528,0.21967107642605524,0.19053242864047149,0.19145474423714104,0.21243581918482407,0.1937901676837839,0.13986472360495658,0.18936489787036703,0.26092458680622643,0.19881893087110009,0.16880817515748459,0.1944236143532514,-3.032205386578716,-2.611176716262338,-2.7055761776528433,-1.8787729780906648,-1.8871582087162415,-2.7999356545549032,-1.5422044561374726,-2.275500923592396,-2.3018145102823553,-2.7140272691127074,-3.858817852821972,-2.8957387808719384
1974-10,0.157,0.045,0.1423,0.2078,0.2022,0.1471,0.1085,0.13019999999999998,0.1,0.2959,0.2101,0.1934,0.5561133273626421,0.47520860903451023,0.6421759146222221,0.8441231131649529,0.7618695517304217,0.5616883178771269,0.8524172642356821,0.6591032121064407,0.46705373809066236,0.6921576443151631,0.5507598481612606,0.5442221553327018,0.2783974186792556,0.23857477387031667,0.26391759561031025,0.29805896915024904,0.31712119851163295,0.2619816839538076,0.18171360083183843,0.2519956204525641,0.3012462885474879,0.3935855965583367,0.31396727536480606,0.3084329778382685,-1.4062630388504105,-2.0333247817042395,-1.4265816537519695,-0.6830863053054677,-0.640764480437425,-1.6692006609023258,-0.28396333441078925,-1.0579548943001773,-1.5405998933223044,-0.6656747662796313,-1.3488666916255057,-1.1918310505459524
1974-11,-0.038599999999999995,-0.0479,-0.0548,-0.0429,-0.0666,-0.0507,-0.030699999999999998,-0.0015,-0.0575,-0.0123,-0.021400000000000002,-0.0348,0.534647352926444,0.45244611666175716,0.6069846745009244,0.8079102316101764,0.7111290395851756,0.5332107201607567,0.8262480542236467,0.6581145572882812,0.4401981481504493,0.6836441052900867,0.5389735874106096,0.5252832243271238,0.2514180925723669,0.1983813476386051,0.2383693448106416,0.2954774179957828,0.288578514603754,0.2487112820484463,0.17918272035195598,0.2304189603151773,0.2547782708017449,0.3888810650150926,0.2988090344867589,0.2817753199077075,-1.1411271045158378,-1.8645906200509006,-1.2237311816740686,-0.6237363289895487,-0.4147917947542269,-1.5021433564369897,-0.21765491629658845,-0.6583659599561511,-1.30544884755424,-0.5058101761585282,-1.074599369297948,-0.9085252749738696
