Date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
1973-01,-0.047599999999999996,-0.067,-0.0414,0.050300000000000004,-0.0269,0.021099999999999997,-0.0212,-0.042699999999999995,-0.0409,-0.011899999999999999,-0.0751,-0.0737
1973-02,-0.0437,-0.058600000000000006,-0.0279,-0.0738,-0.0101,-0.0298,-0.0464,-0.019799999999999998,-0.0645,-0.0070999999999999995,-0.061200000000000004,-0.0599
1973-03,-0.01,-0.0282,-0.0029,0.0305,-0.0007000000000000001,-0.0115,0.0053,-0.0215,-0.0564,0.0078000000000000005,-0.0038,-0.001
1973-04,-0.0625,-0.0519,-0.049699999999999994,-0.0098,-0.0333,-0.0649,0.0088,-0.006,-0.0852,-0.054900000000000004,-0.0801,-0.0742
1973-05,-0.0213,-0.042300000000000004,-0.0084,-0.0356,-0.0182,-0.0268,-0.0084,0.0034999999999999996,-0.0223,0.0106,-0.0325,-0.0722
1973-06,-0.0344,-0.0254,-0.0018,0.0159,-0.0070999999999999995,-0.001,-0.0032,-0.025,-0.0576,0.0001,0.0254,-0.0392
1973-07,0.07429999999999999,0.0726,0.0673,0.003,0.065,0.048499999999999995,-0.0032,-0.024,0.1114,0.0687,0.0897,0.1016
1973-08,-0.0331,-0.0394,-0.0040999999999999995,-0.0382,-0.0403,-0.037599999999999995,-0.038900000000000004,-0.021,-0.0415,-0.069,-0.0232,-0.023
1973-09,0.059000000000000004,0.0782,0.0443,0.09210000000000002,0.0516,-0.0316,0.0764,0.0791,0.0717,0.0078000000000000005,0.0738,0.071
1973-10,-0.0225,-0.0435,0.0033,0.051699999999999996,0.0045000000000000005,0.0418,-0.0556,-0.0341,-0.0365,0.0183,-0.0178,-0.002
1973-11,-0.1432,-0.1631,-0.1396,-0.0622,-0.1501,-0.1144,-0.0433,-0.1164,-0.18899999999999997,-0.0776,-0.12380000000000001,-0.1464
1973-12,-0.015700000000000002,-0.037599999999999995,0.017,0.0863,0.0024,-0.0444,0.0417,0.034300000000000004,-0.0021,-0.044800000000000006,0.0209,0.0281
1974-01,0.0236,0.061,0.0042,-0.0746,0.005699999999999999,0.0111,0.0209,0.0455,0.0669,-0.0256,0.0034000000000000002,0.021
1974-02,0.0015,-0.010700000000000001,0.0023,-0.0155,-0.0040999999999999995,-0.0066,0.0471,0.0029,0.008100000000000001,-0.012199999999999999,0.005600000000000001,0.014499999999999999
